current_time,domain,bd_index,reverse_index,chinese,url,illegal,pan_analysis,sgsr
2016-03-24,arrow-k.com.cn,0,0,no_language,,正常,正常,1
2016-03-24,anbishin.com,0,0,no_language,,正常,正常,2
2016-03-24,aucep.com,0,0,no_language,,正常,正常,1
2016-03-24,at1999.com,0,0,no_language,,正常,正常,1
2016-03-24,aszzqa.cn,1,1,english,,正常,正常,1
2016-03-24,apgy365.cn,1,1,chinese,,正常,正常,1
2016-03-24,82207011.cn,0,0,no_language,,正常,正常,1
2016-03-24,alpiju.com,0,0,no_language,,正常,正常,1
2016-03-24,02500250.com,0,0,no_language,,正常,正常,1
2016-03-24,asczm.com,0,0,no_language,,正常,正常,2
2016-03-24,baoyusteel.cn,0,0,no_language,,正常,正常,1
2016-03-24,artmixcn.com,0,0,no_language,,正常,正常,1
2016-03-24,aibosj.com,0,0,no_language,,正常,正常,2
2016-03-24,9500860com.com,0,0,no_language,,正常,正常,1
2016-03-24,baiwei-zn.com,0,0,no_language,,正常,正常,1
2016-03-24,ajirmd.com,0,0,no_language,,正常,正常,1
2016-03-24,aotu99.com,1,1,english,,包含违禁词,正常,1
2016-03-24,bajcts.com,0,0,no_language,,正常,正常,1
2016-03-24,bcoo168.cn,0,0,no_language,,正常,正常,1
2016-03-24,aphonj.com,0,0,no_language,,正常,正常,1
2016-03-24,balilo.cn,0,0,no_language,,正常,正常,1
2016-03-24,apjinfeng.com,40,10,chinese,,包含违禁词,泛解析,1
2016-03-24,aulyele.cn,0,0,no_language,,正常,正常,1
2016-03-24,anmc08.com,0,0,no_language,,正常,正常,1
2016-03-24,baishungy.cn,0,0,no_language,,正常,正常,1
2016-03-24,baoshengjc.com,1,1,chinese,,正常,正常,1
2016-03-24,baidebaide.com,0,0,no_language,,正常,正常,1
2016-03-24,athensna.com,0,0,no_language,,正常,正常,1
2016-03-24,anxin-it.com,0,0,no_language,,正常,正常,1
2016-03-24,asjlky.com,0,0,no_language,,正常,正常,1
2016-03-24,art-h.com.cn,0,0,no_language,,正常,正常,1
2016-03-24,apc-trans.com,0,0,no_language,,正常,正常,1
2016-03-24,1nai2.com,0,0,no_language,,正常,正常,1
2016-03-24,bang-ke.com,0,0,no_language,,正常,正常,1
2016-03-24,artl1936.com,0,0,no_language,,正常,正常,1
2016-03-24,aqffgy.com,2,2,english,,正常,正常,1
2016-03-24,asuxp.cn,0,0,no_language,,正常,正常,1
2016-03-24,asccm.com.cn,0,0,no_language,,正常,正常,1
2016-03-24,antonyiwu.com,1,1,chinese,,正常,正常,1
2016-03-24,bai-ma.com.cn,0,0,no_language,,正常,正常,1
2016-03-24,astuoda.net,0,0,no_language,,正常,正常,1
2016-03-24,aromamm.com,0,0,no_language,,正常,正常,1
2016-03-24,aqsteel.com,0,0,no_language,,正常,正常,1
2016-03-24,b2bhexiong.cn,0,0,no_language,,正常,正常,1
2016-03-24,aqxsl.com,0,0,no_language,,正常,正常,1
2016-03-24,ahtmpv.com,0,0,no_language,,正常,正常,1
2016-03-24,bags99.com.cn,1,1,chinese,,正常,正常,1
2016-03-24,024hn.com,0,0,no_language,,正常,正常,1
2016-03-24,52jkml.com,0,0,no_language,,正常,正常,2
2016-03-24,axxmtea.com,0,0,no_language,,正常,正常,1
2016-03-24,asckj.com,0,0,no_language,,正常,正常,1
2016-03-24,assgsc.com,0,0,no_language,,正常,正常,1
2016-03-24,bailituna.com,0,0,no_language,,正常,正常,1
2016-03-24,ashymb.cn,0,0,no_language,,正常,正常,1
2016-03-24,anr-china.com,0,0,no_language,,正常,正常,1
2016-03-24,artsea-int.com,0,0,no_language,,正常,正常,1
2016-03-24,beayingmx.com,0,0,no_language,,正常,正常,1
2016-03-24,banlgen.net,0,0,no_language,,正常,正常,1
2016-03-24,andaqp99.cn,0,0,no_language,,正常,正常,1
2016-03-24,bbtxg8.com,0,0,no_language,,正常,正常,1
2016-03-24,aikeuo.com,0,0,no_language,,正常,正常,1
2016-03-24,ann1215.com.cn,0,0,no_language,,正常,正常,1
2016-03-24,baoyima.com,0,0,no_language,,正常,正常,1
2016-03-24,baoxinjd.cn,0,0,no_language,,正常,正常,1
2016-03-24,400-cnc.com,0,0,no_language,,正常,正常,1
2016-03-24,aydingyi.com,0,0,no_language,,正常,正常,1
2016-03-24,aswxjxc.com,0,0,no_language,,正常,正常,1
2016-03-24,beibofs.cn,1,1,english,,正常,正常,1
2016-03-24,3self.com.cn,1,1,english,,正常,正常,1
2016-03-24,asrfdk.com,0,0,no_language,,正常,正常,1
2016-03-24,bedkeji-cn.com,0,0,no_language,,正常,正常,1
2016-03-24,asmrwj.cn,0,0,no_language,,正常,正常,1
2016-03-24,antai2009.com,0,0,no_language,,正常,正常,1
2016-03-24,auredwine.com,0,0,no_language,,正常,正常,1
2016-03-24,aotaidz.com,0,0,no_language,,正常,正常,1
2016-03-24,ayghly.com,0,0,no_language,,正常,正常,1
2016-03-24,atmdiamond.com,0,0,no_language,,正常,正常,1
